Address,Price,Link
"14870 Cheyenne Pl, Victorville, CA 92394","$373,900",https://www.zillow.com/homedetails/14870-Cheyenne-Pl-Victorville-CA-92394/17430889_zpid/
"5525 Tincup Dr, Las Vegas, NV 89130","$435,100",https://www.zillow.com/homedetails/5525-Tincup-Dr-Las-Vegas-NV-89130/6903574_zpid/
"8627 Langdon Ave, North Hills, CA 91343","$859,200",https://www.zillow.com/homedetails/8627-Langdon-Ave-North-Hills-CA-91343/20135534_zpid/
"9500 Valencia Dr, Desert Hot Springs, CA 92240","$333,300",https://www.zillow.com/homedetails/9500-Valencia-Dr-Desert-Hot-Springs-CA-92240/18097603_zpid/
"34318 Deergrass Way, Lake Elsinore, CA 92532","$603,900",https://www.zillow.com/homedetails/34318-Deergrass-Way-Lake-Elsinore-CA-92532/79825893_zpid/
"25868 Fresca Dr, Moreno Valley, CA 92553","$488,300",https://www.zillow.com/homedetails/25868-Fresca-Dr-Moreno-Valley-CA-92553/18010658_zpid/
"8611 Paseo Del Sol, Santee, CA 92071","$760,900",https://www.zillow.com/homedetails/8611-Paseo-Del-Sol-Santee-CA-92071/16891063_zpid/
"10083 San Pablo Ct, Fountain Valley, CA 92708","$790,900",https://www.zillow.com/homedetails/10083-San-Pablo-Ct-Fountain-Valley-CA-92708/25283076_zpid/
"4917 Whisper Ln, Sacramento, CA 95841","$282,900",https://www.zillow.com/homedetails/4917-Whisper-Ln-Sacramento-CA-95841/26020770_zpid/
"8921 Carnation Dr, Corona, CA 92883","$708,900",https://www.zillow.com/homedetails/8921-Carnation-Dr-Corona-CA-92883/17884465_zpid/
"10075 Pacific Peak St, Las Vegas, NV 89178","$524,900",https://www.zillow.com/homedetails/10075-Pacific-Peak-St-Las-Vegas-NV-89178/121082711_zpid/
"13196 Cabazon Way, Victorville, CA 92395","$419,900",https://www.zillow.com/homedetails/13196-Cabazon-Way-Victorville-CA-92395/64681797_zpid/
"37610 Calder Dr, Indio, CA 92203","$575,900",https://www.zillow.com/homedetails/37610-Calder-Dr-Indio-CA-92203/69288628_zpid/
"21716 Paxton, Mission Viejo, CA 92692","$702,200",https://www.zillow.com/homedetails/21716-Paxton-Mission-Viejo-CA-92692/25635325_zpid/
"23158 Canyon Pines Pl, Corona, CA 92883","$639,900",https://www.zillow.com/homedetails/23158-Canyon-Pines-Pl-Corona-CA-92883/17885063_zpid/
"7925 Tokay Ave, Fontana, CA 92336","$499,900",https://www.zillow.com/homedetails/7925-Tokay-Ave-Fontana-CA-92336/17313735_zpid/
"34044 Keri Lynn Ave, Murrieta, CA 92563","$610,900",https://www.zillow.com/homedetails/34044-Keri-Lynn-Ave-Murrieta-CA-92563/79839647_zpid/
"1835 Kinglake St, Henderson, NV 89044","$526,900",https://www.zillow.com/homedetails/1835-Kinglake-St-Henderson-NV-89044/247459004_zpid/
"29120 Outrigger St, Lake Elsinore, CA 92530","$616,900",https://www.zillow.com/homedetails/29120-Outrigger-St-Lake-Elsinore-CA-92530/17952072_zpid/
"69470 Megan Ct, Cathedral City, CA 92234","$598,100",https://www.zillow.com/homedetails/69470-Megan-Ct-Cathedral-City-CA-92234/95807523_zpid/
"292 Pomegranate St, San Jacinto, CA 92582","$464,900",https://www.zillow.com/homedetails/292-Pomegranate-St-San-Jacinto-CA-92582/95972657_zpid/
"29320 Wild Lilac, Lake Elsinore, CA 92530","$573,100",https://www.zillow.com/homedetails/29320-Wild-Lilac-Lake-Elsinore-CA-92530/299489345_zpid/
"36077 Arnett Rd, Wildomar, CA 92595","$681,000",https://www.zillow.com/homedetails/36077-Arnett-Rd-Wildomar-CA-92595/95977917_zpid/
"24105 Huntridge Dr, Murrieta, CA 92562","$692,100",https://www.zillow.com/homedetails/24105-Huntridge-Dr-Murrieta-CA-92562/18162312_zpid/
"16628 Desert Lily St, Victorville, CA 92394","$404,900",https://www.zillow.com/homedetails/16628-Desert-Lily-St-Victorville-CA-92394/79557084_zpid/
"4605 Brentwood Ln, San Bernardino, CA 92407","$390,300",https://www.zillow.com/homedetails/4605-Brentwood-Ln-San-Bernardino-CA-92407/17246307_zpid/
"39969 Bolina Dr, Murrieta, CA 92562","$527,200",https://www.zillow.com/homedetails/39969-Bolina-Dr-Murrieta-CA-92562/18178998_zpid/
"26129 Sunny Side Ct, Menifee, CA 92584","$572,300",https://www.zillow.com/homedetails/26129-Sunny-Side-Ct-Menifee-CA-92584/79824241_zpid/
"41185 Mackenzie Ln, Indio, CA 92203","$469,900",https://www.zillow.com/homedetails/41185-Mackenzie-Ln-Indio-CA-92203/63175493_zpid/
"45763 Klamath Ct, Temecula, CA 92592","$598,900",https://www.zillow.com/homedetails/45763-Klamath-Ct-Temecula-CA-92592/69289393_zpid/
"4269 Barryknoll Dr, Los Angeles, CA 90065","$1,368,800",https://www.zillow.com/homedetails/4269-Barryknoll-Dr-Los-Angeles-CA-90065/68978704_zpid/
"34 Vista Palermo, Lake Elsinore, CA 92532","$613,900",https://www.zillow.com/homedetails/34-Vista-Palermo-Lake-Elsinore-CA-92532/17937161_zpid/
"1305 Julie Ct, Redlands, CA 92374","$560,200",https://www.zillow.com/homedetails/1305-Julie-Ct-Redlands-CA-92374/17259614_zpid/
"5520 Singing Hills Dr, Las Vegas, NV 89130","$529,300",https://www.zillow.com/homedetails/5520-Singing-Hills-Dr-Las-Vegas-NV-89130/6903616_zpid/
"4690 Willowglen Way, Hemet, CA 92545","$409,900",https://www.zillow.com/homedetails/4690-Willowglen-Way-Hemet-CA-92545/54959847_zpid/
"13 Somerset, Trabuco Canyon, CA 92679","$1,298,000",https://www.zillow.com/homedetails/13-Somerset-Trabuco-Canyon-CA-92679/25619107_zpid/
"12832 Snowview Ct, Victorville, CA 92392","$436,000",https://www.zillow.com/homedetails/12832-Snowview-Ct-Victorville-CA-92392/17640541_zpid/
"12628 Rain Shadow Rd, Victorville, CA 92395","$377,900",https://www.zillow.com/homedetails/12628-Rain-Shadow-Rd-Victorville-CA-92395/17482721_zpid/
"34310 Via Buena Dr, Yucaipa, CA 92399","$551,200",https://www.zillow.com/homedetails/34310-Via-Buena-Dr-Yucaipa-CA-92399/17398640_zpid/
"6454 Churchill St, San Bernardino, CA 92407","$483,100",https://www.zillow.com/homedetails/6454-Churchill-St-San-Bernardino-CA-92407/17344523_zpid/
